Case 0: 21	 0.000000 0.021000 0.979000 0.000000 0.021000 1.000000 1.000000 0.979000
Case 0: 22	 0.000000 0.022000 0.978000 0.000000 0.022000 1.000000 1.000000 0.978000
Case 0: 23	 0.000000 0.023000 0.977000 0.000000 0.023000 1.000000 1.000000 0.977000
Case 0: 24	 0.000000 0.024000 0.976000 0.000000 0.024000 1.000000 1.000000 0.976000
Case 0: 25	 0.000000 0.025000 0.975000 0.000000 0.025000 1.000000 1.000000 0.975000
Case 0: 26	 0.000000 0.026000 0.974000 0.000000 0.026000 1.000000 1.000000 0.974000
Case 0: 27	 0.000000 0.027000 0.973000 0.000000 0.027000 1.000000 1.000000 0.973000
Case 0: 28	 0.000000 0.028000 0.972000 0.000000 0.028000 1.000000 1.000000 0.972000
Case 0: 29	 0.000000 0.029000 0.971000 0.000000 0.029000 1.000000 1.000000 0.971000
Case 0: 30	 0.000000 0.030000 0.970000 0.000000 0.030000 1.000000 1.000000 0.970000
Case 0: 31	 0.000000 0.031000 0.969000 0.000000 0.031000 1.000000 1.000000 0.969000
Case 0: 32	 0.000000 0.032000 0.968000 0.000000 0.032000 1.000000 1.000000 0.968000
Case 0: 33	 0.000000 0.033000 0.967000 0.000000 0.033000 1.000000 1.000000 0.967000
Case 0: 34	 0.000000 0.034000 0.966000 0.000000 0.034000 1.000000 1.000000 0.966000
Case 0: 35	 0.000000 0.035000 0.965000 0.000000 0.035000 1.000000 1.000000 0.965000
Case 0: 36	 0.000000 0.036000 0.964000 0.000000 0.036000 1.000000 1.000000 0.964000
Case 0: 37	 0.000000 0.037000 0.963000 0.000000 0.037000 1.000000 1.000000 0.963000
Case 0: 38	 0.000000 0.038000 0.962000 0.000000 0.038000 1.000000 1.000000 0.962000
Case 0: 39	 0.000000 0.039000 0.961001 0.000000 0.039000 1.000000 1.000000 0.961001
Case 0: 40	 0.000000 0.040000 0.960001 0.000000 0.040000 1.000000 1.000000 0.960001
Case 0: 41	 0.000000 0.041000 0.959001 0.000000 0.041000 1.000000 1.000000 0.959001
Case 0: 42	 0.000000 0.042000 0.958001 0.000000 0.042000 1.000000 1.000000 0.958001
Case 0: 43	 0.000000 0.043000 0.957001 0.000000 0.043000 1.000000 1.000000 0.957001
Case 0: 44	 0.000000 0.044000 0.956001 0.000000 0.044000 1.000000 1.000000 0.956001
Case 0: 45	 0.000000 0.045000 0.955001 0.000000 0.045000 1.000000 1.000000 0.955001
Case 0: 46	 0.000000 0.046000 0.954001 0.000000 0.046000 1.000000 1.000000 0.954001
Case 0: 47	 0.000000 0.047000 0.953001 0.000000 0.047000 1.000000 1.000000 0.953001
Case 0: 48	 0.000000 0.048000 0.952001 0.000000 0.048000 1.000000 1.000000 0.952001
Case 0: 49	 0.000000 0.049000 0.951001 0.000000 0.049000 1.000000 1.000000 0.951001
Case 0: 50	 0.000000 0.050000 0.950001 0.000000 0.050000 1.000000 1.000000 0.950001
